/B<7> (Design_Point=1) X,/B<7> (Design_Point=1) Y,/B<6> (Design_Point=1) X,/B<6> (Design_Point=1) Y,/B<5> (Design_Point=1) X,/B<5> (Design_Point=1) Y,/B<4> (Design_Point=1) X,/B<4> (Design_Point=1) Y,/B<3> (Design_Point=1) X,/B<3> (Design_Point=1) Y,/B<2> (Design_Point=1) X,/B<2> (Design_Point=1) Y,/B<1> (Design_Point=1) X,/B<1> (Design_Point=1) Y,/B<0> (Design_Point=1) X,/B<0> (Design_Point=1) Y,/VOUT (Design_Point=1) X,/VOUT (Design_Point=1) Y
5.529468048953562e-10,0.6635361658744274,5.529468048953562e-10,0.6635361658744274,5.529468048953562e-10,0.6635361658744274,5.529468048953562e-10,0.6635361658744274,5.529468048953562e-10,0.6635361658744274,5.529468048953562e-10,0.6635361658744274,5.529468048953562e-10,0.6635361658744274,5.529468048953562e-10,0.6635361658744274,5.529468048953562e-10,0.002144409026955117
5.670691164868264e-10,0.6804829397841916,5.670691164868264e-10,0.6804829397841916,5.670691164868264e-10,0.6804829397841916,5.670691164868264e-10,0.6804829397841916,5.670691164868264e-10,0.6804829397841916,5.670691164868264e-10,0.6804829397841916,5.670691164868264e-10,0.6804829397841916,5.670691164868264e-10,0.6804829397841916,5.670691164868264e-10,0.003661066879403364
5.774166410247785e-10,0.6928999692297342,5.774166410247785e-10,0.6928999692297342,5.774166410247785e-10,0.6928999692297342,5.774166410247785e-10,0.6928999692297342,5.774166410247785e-10,0.6928999692297342,5.774166410247785e-10,0.6928999692297342,5.774166410247785e-10,0.6928999692297342,5.774166410247785e-10,0.6928999692297342,5.774166410247785e-10,0.004828281279443861
5.92315355793101e-10,0.7107784269517211,5.92315355793101e-10,0.7107784269517211,5.92315355793101e-10,0.7107784269517211,5.92315355793101e-10,0.7107784269517211,5.92315355793101e-10,0.7107784269517211,5.92315355793101e-10,0.7107784269517211,5.92315355793101e-10,0.7107784269517211,5.92315355793101e-10,0.7107784269517211,5.92315355793101e-10,0.006540711887259454
6.061156488600658e-10,0.7273387786320789,6.061156488600658e-10,0.7273387786320789,6.061156488600658e-10,0.7273387786320789,6.061156488600658e-10,0.7273387786320789,6.061156488600658e-10,0.7273387786320789,6.061156488600658e-10,0.7273387786320789,6.061156488600658e-10,0.7273387786320789,6.061156488600658e-10,0.7273387786320789,6.061156488600658e-10,0.008127336843548072
6.279261994772497e-10,0.7535114393726996,6.279261994772497e-10,0.7535114393726996,6.279261994772497e-10,0.7535114393726996,6.279261994772497e-10,0.7535114393726996,6.279261994772497e-10,0.7535114393726996,6.279261994772497e-10,0.7535114393726996,6.279261994772497e-10,0.7535114393726996,6.279261994772497e-10,0.7535114393726996,6.279261994772497e-10,0.0106353404195992
6.540042290283341e-10,0.7848050748340009,6.540042290283341e-10,0.7848050748340009,6.540042290283341e-10,0.7848050748340009,6.540042290283341e-10,0.7848050748340009,6.540042290283341e-10,0.7848050748340009,6.540042290283341e-10,0.7848050748340009,6.540042290283341e-10,0.7848050748340009,6.540042290283341e-10,0.7848050748340009,6.540042290283341e-10,0.01362892921100325
7.06160288130503e-10,0.8473923457566035,7.06160288130503e-10,0.8473923457566035,7.06160288130503e-10,0.8473923457566035,7.06160288130503e-10,0.8473923457566035,7.06160288130503e-10,0.8473923457566035,7.06160288130503e-10,0.8473923457566035,7.06160288130503e-10,0.8473923457566035,7.06160288130503e-10,0.8473923457566035,7.06160288130503e-10,0.01959503406649155
7.920525065518632e-10,0.9504630078622356,7.920525065518632e-10,0.9504630078622356,7.920525065518632e-10,0.9504630078622356,7.920525065518632e-10,0.9504630078622356,7.920525065518632e-10,0.9504630078622356,7.920525065518632e-10,0.9504630078622356,7.920525065518632e-10,0.9504630078622356,7.920525065518632e-10,0.9504630078622356,7.920525065518632e-10,0.02935604597948717
8.960262532759317e-10,1.075231503931118,8.960262532759317e-10,1.075231503931118,8.960262532759317e-10,1.075231503931118,8.960262532759317e-10,1.075231503931118,8.960262532759317e-10,1.075231503931118,8.960262532759317e-10,1.075231503931118,8.960262532759317e-10,1.075231503931118,8.960262532759317e-10,1.075231503931118,8.960262532759317e-10,0.04106453607645025
1e-09,1.2,1e-09,1.2,1e-09,1.2,1e-09,1.2,1e-09,1.2,1e-09,1.2,1e-09,1.2,1e-09,1.2,1e-09,0.05265579466860423
1.103439816087434e-09,1.2,1.103439816087434e-09,1.2,1.103439816087434e-09,1.2,1.103439816087434e-09,1.2,1.103439816087434e-09,1.2,1.103439816087434e-09,1.2,1.103439816087434e-09,1.2,1.103439816087434e-09,1.2,1.103439816087434e-09,0.06401522309092424
1.219190138772444e-09,1.2,1.219190138772444e-09,1.2,1.219190138772444e-09,1.2,1.219190138772444e-09,1.2,1.219190138772444e-09,1.2,1.219190138772444e-09,1.2,1.219190138772444e-09,1.2,1.219190138772444e-09,1.2,1.219190138772444e-09,0.07665563975345975
1.313914840701096e-09,1.2,1.313914840701096e-09,1.2,1.313914840701096e-09,1.2,1.313914840701096e-09,1.2,1.313914840701096e-09,1.2,1.313914840701096e-09,1.2,1.313914840701096e-09,1.2,1.313914840701096e-09,1.2,1.313914840701096e-09,0.08689501310754738
1.503364244558399e-09,1.2,1.503364244558399e-09,1.2,1.503364244558399e-09,1.2,1.503364244558399e-09,1.2,1.503364244558399e-09,1.2,1.503364244558399e-09,1.2,1.503364244558399e-09,1.2,1.503364244558399e-09,1.2,1.503364244558399e-09,0.107093601308251
1.882263052273006e-09,1.2,1.882263052273006e-09,1.2,1.882263052273006e-09,1.2,1.882263052273006e-09,1.2,1.882263052273006e-09,1.2,1.882263052273006e-09,1.2,1.882263052273006e-09,1.2,1.882263052273006e-09,1.2,1.882263052273006e-09,0.1464007697311486
2.64006066770222e-09,1.2,2.64006066770222e-09,1.2,2.64006066770222e-09,1.2,2.64006066770222e-09,1.2,2.64006066770222e-09,1.2,2.64006066770222e-09,1.2,2.64006066770222e-09,1.2,2.64006066770222e-09,1.2,2.64006066770222e-09,0.2208248975317662
4.155655898560648e-09,1.2,4.155655898560648e-09,1.2,4.155655898560648e-09,1.2,4.155655898560648e-09,1.2,4.155655898560648e-09,1.2,4.155655898560648e-09,1.2,4.155655898560648e-09,1.2,4.155655898560648e-09,1.2,4.155655898560648e-09,0.3545817842365218
7.186846360277505e-09,1.2,7.186846360277505e-09,1.2,7.186846360277505e-09,1.2,7.186846360277505e-09,1.2,7.186846360277505e-09,1.2,7.186846360277505e-09,1.2,7.186846360277505e-09,1.2,7.186846360277505e-09,1.2,7.186846360277505e-09,0.5702370312387357
1.267262022795858e-08,1.2,1.267262022795858e-08,1.2,1.267262022795858e-08,1.2,1.267262022795858e-08,1.2,1.267262022795858e-08,1.2,1.267262022795858e-08,1.2,1.267262022795858e-08,1.2,1.267262022795858e-08,1.2,1.267262022795858e-08,0.8386082169257807
1.897767617265097e-08,1.2,1.897767617265097e-08,1.2,1.897767617265097e-08,1.2,1.897767617265097e-08,1.2,1.897767617265097e-08,1.2,1.897767617265097e-08,1.2,1.897767617265097e-08,1.2,1.897767617265097e-08,1.2,1.897767617265097e-08,1.005638444732498
