/out (vin_dc=0.6) X,/out (vin_dc=0.6) Y,/net6 (vin_dc=0.6) X,/net6 (vin_dc=0.6) Y,/net5 (vin_dc=0.6) X,/net5 (vin_dc=0.6) Y
6.821593040158356e-05,2.386369407823388e-05,6.821593040158356e-05,0.6,6.821593040158356e-05,0.05368783295009139
7.021593040158355e-05,-2.204057245074563e-05,7.021593040158355e-05,0.6,7.021593040158355e-05,0.02690316829437533
7.221593040158355e-05,2.388200569246381e-05,7.221593040158355e-05,0.6,7.221593040158355e-05,0.009156583026109666
7.421593040158354e-05,-2.20626267686069e-05,7.421593040158354e-05,0.6,7.421593040158354e-05,0.0007279513962713535
7.621593040158354e-05,2.390284816289131e-05,7.621593040158354e-05,0.6,7.621593040158354e-05,0.00175019796068332
7.821593040158353e-05,-2.208400112496477e-05,7.821593040158353e-05,0.6,7.821593040158353e-05,0.01220720128036423
8.021593040158353e-05,2.392627159414544e-05,8.021593040158353e-05,0.6,8.021593040158353e-05,0.03193404816625178
8.221593040158352e-05,-2.210467941969542e-05,8.221593040158352e-05,0.6,8.221593040158352e-05,0.06061963445870833
8.421593040158351e-05,2.395243525399757e-05,8.421593040158351e-05,0.6,8.421593040158351e-05,0.09781157132596341
8.621593040158351e-05,-2.212443255986433e-05,8.621593040158351e-05,0.6,8.621593040158351e-05,0.1429233197062338
8.82159304015835e-05,2.398510891508345e-05,8.82159304015835e-05,0.6,8.82159304015835e-05,0.1952434403791111
9.018200582884438e-05,-2.212040855095205e-05,9.018200582884438e-05,0.6,9.018200582884438e-05,0.2529028241725427
9.204946451918741e-05,2.400605572605355e-05,9.204946451918741e-05,0.6,9.204946451918741e-05,0.3125832979751275
9.397177322893068e-05,-2.210756547122555e-05,9.397177322893068e-05,0.6,9.397177322893068e-05,0.3781362186237093
9.597177322893068e-05,2.41446443161825e-05,9.597177322893068e-05,0.6,9.597177322893068e-05,0.4497556101324925
9.797177322893067e-05,-2.199853927305883e-05,9.797177322893067e-05,0.6,9.797177322893067e-05,0.5237444454211343
9.898588661446533e-05,2.476277047490204e-05,9.898588661446533e-05,0.6,9.898588661446533e-05,0.5617946909680763
9.9239414960849e-05,-2.182294359583421e-05,9.9239414960849e-05,0.6,9.9239414960849e-05,0.5713375322713306
9.96197074804245e-05,2.514602878452933e-05,9.96197074804245e-05,0.6,9.96197074804245e-05,0.5856646739793232
9.980985374021225e-05,-2.165733780146535e-05,9.980985374021225e-05,0.6,9.980985374021225e-05,0.5928318254153554
9.985739030515919e-05,2.515711697034774e-05,9.985739030515919e-05,0.6,9.985739030515919e-05,0.5946238131067048
9.992869515257959e-05,-2.18004273078884e-05,9.992869515257959e-05,0.6,9.992869515257959e-05,0.5973118795749731
0.0001,2.921344629842125e-05,0.0001,0.6,0.0001,0.5999999999999999
