/VIN (inital_phase=120) X,/VIN (inital_phase=120) Y,/SoC (inital_phase=120) X,/SoC (inital_phase=120) Y,/COMP_OUT (inital_phase=120) X,/COMP_OUT (inital_phase=120) Y,/B_Buf<7> (inital_phase=120) X,/B_Buf<7> (inital_phase=120) Y,/B_Buf<6> (inital_phase=120) X,/B_Buf<6> (inital_phase=120) Y,/B_Buf<5> (inital_phase=120) X,/B_Buf<5> (inital_phase=120) Y,/B_Buf<2> (inital_phase=120) X,/B_Buf<2> (inital_phase=120) Y,/B_Buf<1> (inital_phase=120) X,/B_Buf<1> (inital_phase=120) Y,/B_Buf<3> (inital_phase=120) X,/B_Buf<3> (inital_phase=120) Y,/B_Buf<0> (inital_phase=120) X,/B_Buf<0> (inital_phase=120) Y,/EoC (inital_phase=120) X,/EoC (inital_phase=120) Y,/I25/DAC_OUT (inital_phase=120) X,/I25/DAC_OUT (inital_phase=120) Y,/I25/SH_OUT (inital_phase=120) X,/I25/SH_OUT (inital_phase=120) Y,/B_Buf<4> (inital_phase=120) X,/B_Buf<4> (inital_phase=120) Y
6.50000158333375e-06,0.9577348770589711,6.50000158333375e-06,0,6.50000158333375e-06,0.03276231090720998,6.50000158333375e-06,1.199999560053455,6.50000158333375e-06,9.540330456084565e-08,6.50000158333375e-06,9.54033045885789e-08,6.50000158333375e-06,9.540330448539076e-08,6.50000158333375e-06,9.540330467358503e-08,6.50000158333375e-06,1.199993987333945,6.50000158333375e-06,9.540330467358503e-08,6.50000158333375e-06,0,6.50000158333375e-06,0.6372441836429804,6.50000158333375e-06,0.637055049131068,6.50000158333375e-06,9.540330465844562e-08
6.500002000000001e-06,0.957734864448355,6.500002000000001e-06,0,6.500002000000001e-06,0.03276180410104625,6.500002000000001e-06,1.199999560053449,6.500002000000001e-06,9.540330462384361e-08,6.500002000000001e-06,9.540330457809923e-08,6.500002000000001e-06,9.540330451977297e-08,6.500002000000001e-06,9.540330466880969e-08,6.500002000000001e-06,1.199995305082058,6.500002000000001e-06,9.540330466880969e-08,6.500002000000001e-06,0,6.500002000000001e-06,0.6372441823066572,6.500002000000001e-06,0.6370550491095892,6.500002000000001e-06,9.540330461337064e-08
6.500002833332502e-06,0.9577348392271225,6.500002833332502e-06,0,6.500002833332502e-06,0.03276082118125145,6.500002833332502e-06,1.199999560053424,6.500002833332502e-06,9.540330470570923e-08,6.500002833332502e-06,9.540330461134516e-08,6.500002833332502e-06,9.540330457682008e-08,6.500002833332502e-06,9.540330467512579e-08,6.500002833332502e-06,1.199996953684187,6.500002833332502e-06,9.540330467512579e-08,6.500002833332502e-06,0,6.500002833332502e-06,0.6372441796964264,6.500002833332502e-06,0.6370550490666027,6.500002833332502e-06,9.540330470356199e-08
6.500004499997504e-06,0.9577347887846547,6.500004499997504e-06,0,6.500004499997504e-06,0.03275890255987901,6.500004499997504e-06,1.199999560053412,6.500004499997504e-06,9.54033046924178e-08,6.500004499997504e-06,9.540330472612675e-08,6.500004499997504e-06,9.540330466500331e-08,6.500004499997504e-06,9.540330473104783e-08,6.500004499997504e-06,1.199999231350193,6.500004499997504e-06,9.540330473104783e-08,6.500004499997504e-06,0,6.500004499997504e-06,0.6372441744881456,6.500004499997504e-06,0.6370550489811885,6.500004499997504e-06,9.540330457811473e-08
6.500007833327508e-06,0.9577346878997072,6.500007833327508e-06,0,6.500007833327508e-06,0.03275533557397365,6.500007833327508e-06,1.199999560053332,6.500007833327508e-06,9.540330470284016e-08,6.500007833327508e-06,9.540330470416745e-08,6.500007833327508e-06,9.540330473394137e-08,6.500007833327508e-06,9.540330470507972e-08,6.500007833327508e-06,1.20000041380092,6.500007833327508e-06,9.540330470507972e-08,6.500007833327508e-06,0,6.500007833327508e-06,0.6372441642417327,6.500007833327508e-06,0.6370550488129749,6.500007833327508e-06,9.540330478320049e-08
6.500014499987517e-06,0.9577344861297648,6.500014499987517e-06,0,6.500014499987517e-06,0.03274915975406498,6.500014499987517e-06,1.199999560053366,6.500014499987517e-06,9.540330467257554e-08,6.500014499987517e-06,9.540330463586749e-08,6.500014499987517e-06,9.540330465344309e-08,6.500014499987517e-06,9.540330461856928e-08,6.500014499987517e-06,1.19999991567009,6.500014499987517e-06,9.540330461856928e-08,6.500014499987517e-06,0,6.500014499987517e-06,0.637244144384266,6.500014499987517e-06,0.6370550484865993,6.500014499987517e-06,9.540330462932024e-08
6.500027833307533e-06,0.9577340825896922,6.500027833307533e-06,0,6.500027833307533e-06,0.03273984205152905,6.500027833307533e-06,1.199999560053375,6.500027833307533e-06,9.540330470029419e-08,6.500027833307533e-06,9.540330471862294e-08,6.500027833307533e-06,9.540330469645832e-08,6.500027833307533e-06,9.540330471643975e-08,6.500027833307533e-06,1.19999950781835,6.500027833307533e-06,9.540330471643975e-08,6.500027833307533e-06,0,6.500027833307533e-06,0.637244107006222,6.500027833307533e-06,0.6370550478716687,6.500027833307533e-06,9.540330478935744e-08
6.500054499947566e-06,0.9577332755087936,6.500054499947566e-06,0,6.500054499947566e-06,0.03272900728862249,6.500054499947566e-06,1.199999560052976,6.500054499947566e-06,9.540330466528013e-08,6.500054499947566e-06,9.540330463079601e-08,6.500054499947566e-06,9.54033046730413e-08,6.500054499947566e-06,9.540330458771555e-08,6.500054499947566e-06,1.199999566809575,6.500054499947566e-06,9.540330458771555e-08,6.500054499947566e-06,0,6.500054499947566e-06,0.6372440405252543,6.500054499947566e-06,0.637055046777207,6.500054499947566e-06,9.540330453426309e-08
6.500107833227633e-06,0.9577316613439835,6.500107833227633e-06,0,6.500107833227633e-06,0.03272120290954295,6.500107833227633e-06,1.199999560053394,6.500107833227633e-06,9.540330470185563e-08,6.500107833227633e-06,9.540330474684175e-08,6.500107833227633e-06,9.540330472261289e-08,6.500107833227633e-06,9.540330480698561e-08,6.500107833227633e-06,1.199999536925227,6.500107833227633e-06,9.540330480698561e-08,6.500107833227633e-06,0,6.500107833227633e-06,0.6372439344464806,6.500107833227633e-06,0.6370550450315587,6.500107833227633e-06,9.540330482508312e-08
6.500214499787766e-06,0.9577284330023121,6.500214499787766e-06,0,6.500214499787766e-06,0.03271838961393484,6.500214499787766e-06,1.199999560053113,6.500214499787766e-06,9.540330475456294e-08,6.500214499787766e-06,9.540330463573645e-08,6.500214499787766e-06,9.540330469799354e-08,6.500214499787766e-06,9.540330460605422e-08,6.500214499787766e-06,1.199999580698474,6.500214499787766e-06,9.540330460605422e-08,6.500214499787766e-06,0,6.500214499787766e-06,0.6372437968825446,6.500214499787766e-06,0.6370550427776671,6.500214499787766e-06,9.540330450693475e-08
