/IN (Design_Point=1) X,/IN (Design_Point=1) Y,/out (Design_Point=1) X,/out (Design_Point=1) Y,/REF (Design_Point=1) X,/REF (Design_Point=1) Y
2.015102564008757e-06,1.2,2.015102564008757e-06,0.7237455469600572,2.015102564008757e-06,0.6
2.015191610589122e-06,1.2,2.015191610589122e-06,0.8021499663473285,2.015191610589122e-06,0.6
2.015283148322976e-06,1.2,2.015283148322976e-06,0.8808662740425475,2.015283148322976e-06,0.6
2.015356091940292e-06,1.2,2.015356091940292e-06,0.9385930650913484,2.015356091940292e-06,0.6
2.015418367734127e-06,1.2,2.015418367734127e-06,0.9821111423006113,2.015418367734127e-06,0.6
2.015482613270016e-06,1.2,2.015482613270016e-06,1.020564868890688,2.015482613270016e-06,0.6
2.015569914143371e-06,1.2,2.015569914143371e-06,1.063086399879995,2.015569914143371e-06,0.6
2.01568674761296e-06,1.2,2.01568674761296e-06,1.105789941514971,2.01568674761296e-06,0.6
2.015781075034677e-06,1.2,2.015781075034677e-06,1.130917656654581,2.015781075034677e-06,0.6
2.015874960845513e-06,1.2,2.015874960845513e-06,1.149513452975943,2.015874960845513e-06,0.6
2.015979346976837e-06,1.2,2.015979346976837e-06,1.164489711822209,2.015979346976837e-06,0.6
2.016091653695515e-06,1.2,2.016091653695515e-06,1.175657822214593,2.016091653695515e-06,0.6
2.01621360002747e-06,1.2,2.01621360002747e-06,1.183688231198831,2.01621360002747e-06,0.6
2.016347760324287e-06,1.2,2.016347760324287e-06,1.189227819740751,2.016347760324287e-06,0.6
2.016497282959529e-06,1.2,2.016497282959529e-06,1.192858648035443,2.016497282959529e-06,0.6
2.016667219704925e-06,1.2,2.016667219704925e-06,1.195128258158673,2.016667219704925e-06,0.6
2.016865091364121e-06,1.2,2.016865091364121e-06,1.196527388035371,2.016865091364121e-06,0.6
2.017102943778683e-06,1.2,2.017102943778683e-06,1.197481552132278,2.017102943778683e-06,0.6
2.017368192842122e-06,1.2,2.017368192842122e-06,1.198193487503932,2.017368192842122e-06,0.6
2.017780111140694e-06,1.2,2.017780111140694e-06,1.198948345158202,2.017780111140694e-06,0.6
2.018094375182926e-06,1.2,2.018094375182926e-06,1.199267617634961,2.018094375182926e-06,0.6
2.018369835723268e-06,1.2,2.018369835723268e-06,1.199430119836176,2.018369835723268e-06,0.6
2.01870541453363e-06,1.2,2.01870541453363e-06,1.199562411647829,2.01870541453363e-06,0.6
2.019142148873412e-06,1.2,2.019142148873412e-06,1.199681261229169,2.019142148873412e-06,0.6
2.019668840109227e-06,1.2,2.019668840109227e-06,1.199776605955822,2.019668840109227e-06,0.6
2.02029155253731e-06,1.2,2.02029155253731e-06,1.199849270354123,2.02029155253731e-06,0.6
2.021036400306082e-06,1.2,2.021036400306082e-06,1.199904109669822,2.021036400306082e-06,0.6
2.021926958200654e-06,1.2,2.021926958200654e-06,1.199943919495571,2.021926958200654e-06,0.6
2.022986966084705e-06,1.2,2.022986966084705e-06,1.199970782029173,2.022986966084705e-06,0.6
2.024253621768199e-06,1.2,2.024253621768199e-06,1.199987171726985,2.024253621768199e-06,0.6
2.025755353000127e-06,1.2,2.025755353000127e-06,1.19999569606171,2.025755353000127e-06,0.6
2.027559728181417e-06,1.2,2.027559728181417e-06,1.199999269393344,2.027559728181417e-06,0.6
2.029796132302024e-06,1.2,2.029796132302024e-06,1.200000241321499,2.029796132302024e-06,0.6
2.032685787305652e-06,1.2,2.032685787305652e-06,1.200000146288402,2.032685787305652e-06,0.6
