/PHI_1 (pulse_width=5e-07) X,/PHI_1 (pulse_width=5e-07) Y,/VIN (pulse_width=5e-07) X,/VIN (pulse_width=5e-07) Y,/SH_OUT (pulse_width=5e-07) X,/SH_OUT (pulse_width=5e-07) Y
1.070062716574629e-06,0,1.070062716574629e-06,0.4689986868165282,1.070062716574629e-06,0.4877771812913974
1.084669408020229e-06,0,1.084669408020229e-06,0.4422773204151997,1.084669408020229e-06,0.4582588039043068
1.09883851126068e-06,0,1.09883851126068e-06,0.4166732331375641,1.09883851126068e-06,0.4305510602229071
1.114211477094869e-06,0,1.114211477094869e-06,0.3893061221943624,1.114211477094869e-06,0.4014126234747432
1.136175128124443e-06,0,1.136175128124443e-06,0.3510742551155707,1.136175128124443e-06,0.3612799564202271
1.16804675849301e-06,0,1.16804675849301e-06,0.2977499380708671,1.16804675849301e-06,0.306002448092552
1.201352309093041e-06,0,1.201352309093041e-06,0.2452698187208158,1.201352309093041e-06,0.2520493427597688
1.25087610330129e-06,0,1.25087610330129e-06,0.1745698124414057,1.25087610330129e-06,0.1797325788312129
1.311658699128541e-06,0,1.311658699128541e-06,0.1020010055689145,1.311658699128541e-06,0.1056447849234965
1.419489319089146e-06,0,1.419489319089146e-06,0.01909024272430193,1.419489319089146e-06,0.02060652134807727
1.508372766945297e-06,0,1.508372766945297e-06,0.0002075553657495677,1.508372766945297e-06,9.396440403730437e-05
1.56857676929324e-06,0,1.56857676929324e-06,0.01387057916227219,1.56857676929324e-06,0.01272429051737369
1.629268188089435e-06,0,1.629268188089435e-06,0.04880084146383412,1.629268188089435e-06,0.04650465911765132
1.699548076774673e-06,0,1.699548076774673e-06,0.1140895848374038,1.699548076774673e-06,0.1103740611974047
1.753297435687551e-06,0,1.753297435687551e-06,0.1801536532333011,1.753297435687551e-06,0.1751273478756826
1.855153889737798e-06,0,1.855153889737798e-06,0.3362970245627823,1.855153889737798e-06,0.3274254464370345
1.903203004327532e-06,0,1.903203004327532e-06,0.4203411168258031,1.903203004327532e-06,0.4084880866114279
1.949763461427198e-06,0,1.949763461427198e-06,0.5056989715605898,1.949763461427198e-06,0.4884576722242665
1.974881730713599e-06,0,1.974881730713599e-06,0.552702300691106,1.974881730713599e-06,0.5314769312319819
1.987440865356799e-06,0,1.987440865356799e-06,0.5763327307116833,1.987440865356799e-06,0.552697278553382
2e-06,0,2e-06,0.5999999999999999,2e-06,0.5737560350774439
2.0000625e-06,0.07500000000016445,2.0000625e-06,0.6001178097237519,2.0000625e-06,0.5738781410738698
2.000116002822502e-06,0.1392033870024708,2.000116002822502e-06,0.6002186601641406,2.000116002822502e-06,0.573974006613709
2.000130339816541e-06,0.1564077798495565,2.000130339816541e-06,0.6002456847592038,2.000130339816541e-06,0.5739989224761347
2.000147188305976e-06,0.1766259671713463,2.000147188305976e-06,0.6002774434105617,2.000147188305976e-06,0.5740279944305589
2.000162993680419e-06,0.1955924165032442,2.000162993680419e-06,0.6003072358359653,2.000162993680419e-06,0.5740551278256896
2.000174446219426e-06,0.2093354633110308,2.000174446219426e-06,0.6003288233603763,2.000174446219426e-06,0.5740747262419733
2.000185095935986e-06,0.2221151231827752,2.000185095935986e-06,0.6003488975999581,2.000185095935986e-06,0.5740929071382805
