/B<7> (vref=1.2) X,/B<7> (vref=1.2) Y,/B<6> (vref=1.2) X,/B<6> (vref=1.2) Y,/B<5> (vref=1.2) X,/B<5> (vref=1.2) Y,/B<4> (vref=1.2) X,/B<4> (vref=1.2) Y,/B<3> (vref=1.2) X,/B<3> (vref=1.2) Y,/B<2> (vref=1.2) X,/B<2> (vref=1.2) Y,/B<1> (vref=1.2) X,/B<1> (vref=1.2) Y,/VOUT (vref=1.2) X,/VOUT (vref=1.2) Y,/net10 (vref=1.2) X,/net10 (vref=1.2) Y,/B<0> (vref=1.2) X,/B<0> (vref=1.2) Y
9.028221413690122e-10,1.083386569642814,9.028221413690122e-10,1.083386569642814,9.028221413690122e-10,1.083386569642814,9.028221413690122e-10,1.083386569642814,9.028221413690122e-10,1.083386569642814,9.028221413690122e-10,1.083386569642814,9.028221413690122e-10,1.083386569642814,9.028221413690122e-10,0.02056776228754882,9.028221413690122e-10,1.2,9.028221413690122e-10,1.083386569642814
9.609653577830845e-10,1.153158429339701,9.609653577830845e-10,1.153158429339701,9.609653577830845e-10,1.153158429339701,9.609653577830845e-10,1.153158429339701,9.609653577830845e-10,1.153158429339701,9.609653577830845e-10,1.153158429339701,9.609653577830845e-10,1.153158429339701,9.609653577830845e-10,0.02482062715854129,9.609653577830845e-10,1.2,9.609653577830845e-10,1.153158429339701
1e-09,1.2,1e-09,1.2,1e-09,1.2,1e-09,1.2,1e-09,1.2,1e-09,1.2,1e-09,1.2,1e-09,0.02766716620351863,1e-09,1.2,1e-09,1.2
1.078069284433831e-09,1.2,1.078069284433831e-09,1.2,1.078069284433831e-09,1.2,1.078069284433831e-09,1.2,1.078069284433831e-09,1.2,1.078069284433831e-09,1.2,1.078069284433831e-09,1.2,1.078069284433831e-09,0.03332571523351263,1.078069284433831e-09,1.2,1.078069284433831e-09,1.2
1.157066953320001e-09,1.2,1.157066953320001e-09,1.2,1.157066953320001e-09,1.2,1.157066953320001e-09,1.2,1.157066953320001e-09,1.2,1.157066953320001e-09,1.2,1.157066953320001e-09,1.2,1.157066953320001e-09,0.03903751337689043,1.157066953320001e-09,1.2,1.157066953320001e-09,1.2
1.222289960967014e-09,1.2,1.222289960967014e-09,1.2,1.222289960967014e-09,1.2,1.222289960967014e-09,1.2,1.222289960967014e-09,1.2,1.222289960967014e-09,1.2,1.222289960967014e-09,1.2,1.222289960967014e-09,0.043732216538745,1.222289960967014e-09,1.2,1.222289960967014e-09,1.2
1.352735976261042e-09,1.2,1.352735976261042e-09,1.2,1.352735976261042e-09,1.2,1.352735976261042e-09,1.2,1.352735976261042e-09,1.2,1.352735976261042e-09,1.2,1.352735976261042e-09,1.2,1.352735976261042e-09,0.05306451768762177,1.352735976261042e-09,1.2,1.352735976261042e-09,1.2
1.613628006849096e-09,1.2,1.613628006849096e-09,1.2,1.613628006849096e-09,1.2,1.613628006849096e-09,1.2,1.613628006849096e-09,1.2,1.613628006849096e-09,1.2,1.613628006849096e-09,1.2,1.613628006849096e-09,0.07150350190613855,1.613628006849096e-09,1.2,1.613628006849096e-09,1.2
2.135412068025206e-09,1.2,2.135412068025206e-09,1.2,2.135412068025206e-09,1.2,2.135412068025206e-09,1.2,2.135412068025206e-09,1.2,2.135412068025206e-09,1.2,2.135412068025206e-09,1.2,2.135412068025206e-09,0.1074949212518612,2.135412068025206e-09,1.2,2.135412068025206e-09,1.2
3.178980190377424e-09,1.2,3.178980190377424e-09,1.2,3.178980190377424e-09,1.2,3.178980190377424e-09,1.2,3.178980190377424e-09,1.2,3.178980190377424e-09,1.2,3.178980190377424e-09,1.2,3.178980190377424e-09,0.1760954574462749,3.178980190377424e-09,1.2,3.178980190377424e-09,1.2
