/B<7> (Design_Point=1) X,/B<7> (Design_Point=1) Y,/B<6> (Design_Point=1) X,/B<6> (Design_Point=1) Y,/B<5> (Design_Point=1) X,/B<5> (Design_Point=1) Y,/B<4> (Design_Point=1) X,/B<4> (Design_Point=1) Y,/B<3> (Design_Point=1) X,/B<3> (Design_Point=1) Y,/B<2> (Design_Point=1) X,/B<2> (Design_Point=1) Y,/B<0> (Design_Point=1) X,/B<0> (Design_Point=1) Y,/VOUT (Design_Point=1) X,/VOUT (Design_Point=1) Y,/B<1> (Design_Point=1) X,/B<1> (Design_Point=1) Y
1.00125e-06,1.2,1.00125e-06,1.2,1.00125e-06,1.2,1.00125e-06,1.2,1.00125e-06,1.2,1.00125e-06,1.2,1.00125e-06,0.9000000000001045,1.00125e-06,1.187402470714854,1.00125e-06,1.2
1.00134375e-06,1.2,1.00134375e-06,1.2,1.00134375e-06,1.2,1.00134375e-06,1.2,1.00134375e-06,1.2,1.00134375e-06,1.2,1.00134375e-06,0.787500000000112,1.00134375e-06,1.187402358711086,1.00134375e-06,1.2
1.001390625e-06,1.2,1.001390625e-06,1.2,1.001390625e-06,1.2,1.001390625e-06,1.2,1.001390625e-06,1.2,1.001390625e-06,1.2,1.001390625e-06,0.7312499999999886,1.001390625e-06,1.18740208061908,1.001390625e-06,1.2
1.001484375e-06,1.2,1.001484375e-06,1.2,1.001484375e-06,1.2,1.001484375e-06,1.2,1.001484375e-06,1.2,1.001484375e-06,1.2,1.001484375e-06,0.618749999999742,1.001484375e-06,1.187399630043263,1.001484375e-06,1.2
1.001516886795852e-06,1.2,1.001516886795852e-06,1.2,1.001516886795852e-06,1.2,1.001516886795852e-06,1.2,1.001516886795852e-06,1.2,1.001516886795852e-06,1.2,1.001516886795852e-06,0.5797358449779479,1.001516886795852e-06,1.187396869850697,1.001516886795852e-06,1.2
1.001533142693777e-06,1.2,1.001533142693777e-06,1.2,1.001533142693777e-06,1.2,1.001533142693777e-06,1.2,1.001533142693777e-06,1.2,1.001533142693777e-06,1.2,1.001533142693777e-06,0.5602287674671782,1.001533142693777e-06,1.187394770963374,1.001533142693777e-06,1.2
1.001565654489629e-06,1.2,1.001565654489629e-06,1.2,1.001565654489629e-06,1.2,1.001565654489629e-06,1.2,1.001565654489629e-06,1.2,1.001565654489629e-06,1.2,1.001565654489629e-06,0.5212146124456384,1.001565654489629e-06,1.187380578494034,1.001565654489629e-06,1.2
1.001592435133032e-06,1.2,1.001592435133032e-06,1.2,1.001592435133032e-06,1.2,1.001592435133032e-06,1.2,1.001592435133032e-06,1.2,1.001592435133032e-06,1.2,1.001592435133032e-06,0.4890778403612789,1.001592435133032e-06,1.187337492676982,1.001592435133032e-06,1.2
1.001612950142688e-06,1.2,1.001612950142688e-06,1.2,1.001612950142688e-06,1.2,1.001612950142688e-06,1.2,1.001612950142688e-06,1.2,1.001612950142688e-06,1.2,1.001612950142688e-06,0.4644598287741403,1.001612950142688e-06,1.18725082160443,1.001612950142688e-06,1.2
1.00162762352474e-06,1.2,1.00162762352474e-06,1.2,1.00162762352474e-06,1.2,1.00162762352474e-06,1.2,1.00162762352474e-06,1.2,1.00162762352474e-06,1.2,1.00162762352474e-06,0.4468517703116656,1.00162762352474e-06,1.187161671429953,1.00162762352474e-06,1.2
