/I10/I_bot (vbias_current=0.8) X,/I10/I_bot (vbias_current=0.8) Y,/I10/I_bot (vbias_current=0.85) X,/I10/I_bot (vbias_current=0.85) Y,/I10/I_bot (vbias_current=0.9) X,/I10/I_bot (vbias_current=0.9) Y,/I10/I_bot (vbias_current=0.95) X,/I10/I_bot (vbias_current=0.95) Y,/I10/I_bot (vbias_current=1) X,/I10/I_bot (vbias_current=1) Y,/I10/I_bot (vbias_current=1.05) X,/I10/I_bot (vbias_current=1.05) Y,/I10/I_bot (vbias_current=1.1) X,/I10/I_bot (vbias_current=1.1) Y,/I10/I_bot (vbias_current=1.15) X,/I10/I_bot (vbias_current=1.15) Y,/I10/I_bot (vbias_current=1.2) X,/I10/I_bot (vbias_current=1.2) Y
6.510000000000003e-07,-1.762986289700687e-05,6.510000000000003e-07,-1.910640281225125e-05,6.510000000000003e-07,-1.980528440274968e-05,6.510000000000003e-07,-2.018607779255166e-05,6.510000000000003e-07,-2.041780624601914e-05,6.510000000000003e-07,-2.057132729852089e-05,6.510000000000003e-07,-2.067973461281429e-05,6.510000000000003e-07,-2.076002885741535e-05,6.510000000000003e-07,-2.082169152476887e-05
6.710000000000003e-07,-1.762986188355474e-05,6.710000000000003e-07,-1.910640191246439e-05,6.710000000000003e-07,-1.980528353739816e-05,6.710000000000003e-07,-2.018607693883313e-05,6.710000000000003e-07,-2.041780539493959e-05,6.710000000000003e-07,-2.057132644862791e-05,6.710000000000003e-07,-2.067973376328871e-05,6.710000000000003e-07,-2.076002800712961e-05,6.710000000000003e-07,-2.082169067327457e-05
6.910000000000004e-07,-1.762986097609768e-05,6.910000000000004e-07,-1.910640109975849e-05,6.910000000000004e-07,-1.980528275302699e-05,6.910000000000004e-07,-2.018607616328075e-05,6.910000000000004e-07,-2.041780462295722e-05,6.910000000000004e-07,-2.057132567651333e-05,6.910000000000004e-07,-2.067973299006815e-05,6.910000000000004e-07,-2.076002723316567e-05,6.910000000000004e-07,-2.0821689898864e-05
7.110000000000004e-07,-1.76298602043366e-05,7.110000000000004e-07,-1.910640041503332e-05,7.110000000000004e-07,-1.980528209509763e-05,7.110000000000004e-07,-2.018607551463786e-05,7.110000000000004e-07,-2.041780397763668e-05,7.110000000000004e-07,-2.057132503200143e-05,7.110000000000004e-07,-2.067973234547416e-05,7.110000000000004e-07,-2.07600265881414e-05,7.110000000000004e-07,-2.082168925332608e-05
7.310000000000004e-07,-1.762985951208054e-05,7.310000000000004e-07,-1.910639979744288e-05,7.310000000000004e-07,-1.980528149987289e-05,7.310000000000004e-07,-2.018607492647671e-05,7.310000000000004e-07,-2.041780339147014e-05,7.310000000000004e-07,-2.057132444620581e-05,7.310000000000004e-07,-2.067973175937415e-05,7.310000000000004e-07,-2.076002600155522e-05,7.310000000000004e-07,-2.082168866618912e-05
7.510000000000004e-07,-1.762985891030985e-05,7.510000000000004e-07,-1.91063992651699e-05,7.510000000000004e-07,-1.98052809895907e-05,7.510000000000004e-07,-2.01860744222928e-05,7.510000000000004e-07,-2.041780289093754e-05,7.510000000000004e-07,-2.057132394623348e-05,7.510000000000004e-07,-2.067973125876119e-05,7.510000000000004e-07,-2.076002550054556e-05,7.510000000000004e-07,-2.082168816513409e-05
7.710000000000004e-07,-1.762985836998882e-05,7.710000000000004e-07,-1.910639878449315e-05,7.710000000000004e-07,-1.980528052662362e-05,7.710000000000004e-07,-2.018607396671755e-05,7.710000000000004e-07,-2.0417802436317e-05,7.710000000000004e-07,-2.057132349230541e-05,7.710000000000004e-07,-2.067973080542278e-05,7.710000000000004e-07,-2.076002504708428e-05,7.710000000000004e-07,-2.082168771102831e-05
7.910000000000005e-07,-1.762985789208918e-05,7.910000000000005e-07,-1.910639836235153e-05,7.910000000000005e-07,-1.980528012246508e-05,7.910000000000005e-07,-2.018607356864321e-05,7.910000000000005e-07,-2.041780204103463e-05,7.910000000000005e-07,-2.057132309690089e-05,7.910000000000005e-07,-2.067973041093021e-05,7.910000000000005e-07,-2.076002465200014e-05,7.910000000000005e-07,-2.082168731559223e-05
8.110000000000005e-07,-1.762985746137419e-05,8.110000000000005e-07,-1.910639798143159e-05,8.110000000000005e-07,-1.980527975645076e-05,8.110000000000005e-07,-2.018607320808733e-05,8.110000000000005e-07,-2.041780168178354e-05,8.110000000000005e-07,-2.057132273908529e-05,8.110000000000005e-07,-2.067973005248886e-05,8.110000000000005e-07,-2.076002429390263e-05,8.110000000000005e-07,-2.082168695741843e-05
8.310000000000005e-07,-1.762985707464351e-05,8.310000000000005e-07,-1.910639764150476e-05,8.310000000000005e-07,-1.98052794317396e-05,8.310000000000005e-07,-2.018607288743043e-05,8.310000000000005e-07,-2.041780136384315e-05,8.310000000000005e-07,-2.057132242135593e-05,8.310000000000005e-07,-2.067972973587853e-05,8.310000000000005e-07,-2.076002397713912e-05,8.310000000000005e-07,-2.082168664112839e-05
8.510000000000005e-07,-1.762985672615785e-05,8.510000000000005e-07,-1.910639733447869e-05,8.510000000000005e-07,-1.980527913731725e-05,8.510000000000005e-07,-2.018607259890058e-05,8.510000000000005e-07,-2.041780107638311e-05,8.510000000000005e-07,-2.057132213509531e-05,8.510000000000005e-07,-2.067972944888562e-05,8.510000000000005e-07,-2.076002369030256e-05,8.510000000000005e-07,-2.082168635365871e-05
8.710000000000005e-07,-1.762985640864522e-05,8.710000000000005e-07,-1.910639705691742e-05,8.710000000000005e-07,-1.980527887266829e-05,8.710000000000005e-07,-2.018607233908274e-05,8.710000000000005e-07,-2.041780081755802e-05,8.710000000000005e-07,-2.057132187778557e-05,8.710000000000005e-07,-2.067972919106478e-05,8.710000000000005e-07,-2.076002343237189e-05,8.710000000000005e-07,-2.082168609614402e-05
8.910000000000006e-07,-1.76298561225936e-05,8.910000000000006e-07,-1.910639680597256e-05,8.910000000000006e-07,-1.980527863279375e-05,8.910000000000006e-07,-2.018607210327371e-05,8.910000000000006e-07,-2.041780058421519e-05,8.910000000000006e-07,-2.057132164440936e-05,8.910000000000006e-07,-2.067972895867642e-05,8.910000000000006e-07,-2.076002320023734e-05,8.910000000000006e-07,-2.082168586354262e-05
9.110000000000006e-07,-1.762985585861968e-05,9.110000000000006e-07,-1.910639657649644e-05,9.110000000000006e-07,-1.980527841453509e-05,9.110000000000006e-07,-2.018607188888924e-05,9.110000000000006e-07,-2.04178003719897e-05,9.110000000000006e-07,-2.057132143212397e-05,9.110000000000006e-07,-2.067972874722808e-05,9.110000000000006e-07,-2.076002298838436e-05,9.110000000000006e-07,-2.082168565215482e-05
9.310000000000006e-07,-1.762985562077128e-05,9.310000000000006e-07,-1.910639636900656e-05,9.310000000000006e-07,-1.980527821682855e-05,9.310000000000006e-07,-2.018607169526384e-05,9.310000000000006e-07,-2.041780017956387e-05,9.310000000000006e-07,-2.057132124113734e-05,9.310000000000006e-07,-2.067972855612963e-05,9.310000000000006e-07,-2.076002279793694e-05,9.310000000000006e-07,-2.082168546133301e-05
9.510000000000006e-07,-1.762985539924302e-05,9.510000000000006e-07,-1.910639617699875e-05,9.510000000000006e-07,-1.9805278035079e-05,9.510000000000006e-07,-2.018607151763114e-05,9.510000000000006e-07,-2.04178000025715e-05,9.510000000000006e-07,-2.057132106459096e-05,9.510000000000006e-07,-2.067972838033715e-05,9.510000000000006e-07,-2.076002262293459e-05,9.510000000000006e-07,-2.082168528539675e-05
9.710000000000005e-07,-1.762985519883567e-05,9.710000000000005e-07,-1.910639600388681e-05,9.710000000000005e-07,-1.980527787043428e-05,9.710000000000005e-07,-2.018607135614111e-05,9.710000000000005e-07,-2.041779984353076e-05,9.710000000000005e-07,-2.057132090660102e-05,9.710000000000005e-07,-2.06797282222969e-05,9.710000000000005e-07,-2.07600224645275e-05,9.710000000000005e-07,-2.082168512805621e-05
9.855000000000001e-07,-1.762985505947898e-05,9.855000000000001e-07,-1.910639588395294e-05,9.855000000000001e-07,-1.980527775743153e-05,9.855000000000001e-07,-2.018607124609844e-05,9.855000000000001e-07,-2.041779973373819e-05,9.855000000000001e-07,-2.057132079840385e-05,9.855000000000001e-07,-2.067972811380279e-05,9.855000000000001e-07,-2.0760022355511e-05,9.855000000000001e-07,-2.08216850197578e-05
1e-06,-1.762985493510828e-05,1e-06,-1.910639577731661e-05,1e-06,-1.980527765621058e-05,1e-06,-2.018607114685189e-05,1e-06,-2.041779963644628e-05,1e-06,-2.057132070066689e-05,1e-06,-2.067972801689977e-05,1e-06,-2.076002225939513e-05,1e-06,-2.082168492317919e-05
