/PHI_1 (pulse_width=5e-07) X,/PHI_1 (pulse_width=5e-07) Y,/VIN (pulse_width=5e-07) X,/VIN (pulse_width=5e-07) Y,/SH_OUT (pulse_width=5e-07) X,/SH_OUT (pulse_width=5e-07) Y
1.896154493864909e-06,0,1.896154493864909e-06,0.8145373532841056,1.896154493864909e-06,0.8280907549646696
1.957663524968307e-06,0,1.957663524968307e-06,0.7632793086450542,1.957663524968307e-06,0.7790665154484482
2e-06,0,2e-06,0.7272042659532328,2e-06,0.744549346585835
2.000000402104692e-06,0.0004825256303732112,2.000000402104692e-06,0.7272039207777499,2.000000402104692e-06,0.744551834988985
2.000000445885388e-06,0.0005350624652207341,2.000000445885388e-06,0.7272038831954379,2.000000445885388e-06,0.7445521155330012
2.00000052386973e-06,0.0006286436764213215,2.00000052386973e-06,0.7272038162519625,2.00000052386973e-06,0.7445526120412532
2.000000586300615e-06,0.0007035607377047599,2.000000586300615e-06,0.7272037626599167,2.000000586300615e-06,0.7445529903611766
2.000000651148754e-06,0.0007813785049900915,2.000000651148754e-06,0.7272037069928446,2.000000651148754e-06,0.7445533454314971
2.000000715982128e-06,0.0008591785531931994,2.000000715982128e-06,0.727203651338447,2.000000715982128e-06,0.7445536628109374
2.000000779599385e-06,0.0009355192620534167,2.000000779599385e-06,0.727203596727989,2.000000779599385e-06,0.7445539452093937
2.000000854262324e-06,0.001025114788689226,2.000000854262324e-06,0.7272035326356729,2.000000854262324e-06,0.7445542473701309
2.000000953223718e-06,0.001143868461966023,2.000000953223718e-06,0.7272034476850233,2.000000953223718e-06,0.7445546043305146
2.000001046319958e-06,0.001255583950103957,2.000001046319958e-06,0.7272033677691496,2.000001046319958e-06,0.7445548901872998
2.000001158568539e-06,0.001390282247135208,2.000001158568539e-06,0.7272032714124793,2.000001158568539e-06,0.7445551622253388
2.000001278852348e-06,0.001534622817921615,2.000001278852348e-06,0.7272031681581874,2.000001278852348e-06,0.7445553879323278
2.000001393912092e-06,0.001672694511079106,2.000001393912092e-06,0.7272030693883447,2.000001393912092e-06,0.7445555696991855
2.000001548181829e-06,0.001857818194632942,2.000001548181829e-06,0.7272029369597676,2.000001548181829e-06,0.7445557652836963
2.000001678886231e-06,0.0020146634777525,2.000001678886231e-06,0.7272028247601923,2.000001678886231e-06,0.7445558796093252
2.000001882688713e-06,0.002259226455613165,2.000001882688713e-06,0.7272026498115863,2.000001882688713e-06,0.7445559917561591
2.000002033896352e-06,0.002440675622319792,2.000002033896352e-06,0.7272025200115617,2.000002033896352e-06,0.7445560487628593
