/B<7> (vref=1.2) X,/B<7> (vref=1.2) Y,/B<6> (vref=1.2) X,/B<6> (vref=1.2) Y,/B<5> (vref=1.2) X,/B<5> (vref=1.2) Y,/B<4> (vref=1.2) X,/B<4> (vref=1.2) Y,/B<3> (vref=1.2) X,/B<3> (vref=1.2) Y,/B<1> (vref=1.2) X,/B<1> (vref=1.2) Y,/B<0> (vref=1.2) X,/B<0> (vref=1.2) Y,/VOUT (vref=1.2) X,/VOUT (vref=1.2) Y,/net10 (vref=1.2) X,/net10 (vref=1.2) Y,/B<2> (vref=1.2) X,/B<2> (vref=1.2) Y
2.00025e-06,1.2,2.00025e-06,1.2,2.00025e-06,1.2,2.00025e-06,1.2,2.00025e-06,1.2,2.00025e-06,1.2,2.00025e-06,0.3000000000001495,2.00025e-06,1.190583360691088,2.00025e-06,1.2,2.00025e-06,1.2
2.00034375e-06,1.2,2.00034375e-06,1.2,2.00034375e-06,1.2,2.00034375e-06,1.2,2.00034375e-06,1.2,2.00034375e-06,1.2,2.00034375e-06,0.412499999999888,2.00034375e-06,1.190583365994424,2.00034375e-06,1.2,2.00034375e-06,1.2
2.000390625e-06,1.2,2.000390625e-06,1.2,2.000390625e-06,1.2,2.000390625e-06,1.2,2.000390625e-06,1.2,2.000390625e-06,1.2,2.000390625e-06,0.4687499999997572,2.000390625e-06,1.190583368059682,2.000390625e-06,1.2,2.000390625e-06,1.2
2.000484374999999e-06,1.2,2.000484374999999e-06,1.2,2.000484374999999e-06,1.2,2.000484374999999e-06,1.2,2.000484374999999e-06,1.2,2.000484374999999e-06,1.2,2.000484374999999e-06,0.5812499999994958,2.000484374999999e-06,1.190583368558925,2.000484374999999e-06,1.2,2.000484374999999e-06,1.2
2.000598497449425e-06,1.2,2.000598497449425e-06,1.2,2.000598497449425e-06,1.2,2.000598497449425e-06,1.2,2.000598497449425e-06,1.2,2.000598497449425e-06,1.2,2.000598497449425e-06,0.7181969393106122,2.000598497449425e-06,1.190583452811512,2.000598497449425e-06,1.2,2.000598497449425e-06,1.2
2.000626075715434e-06,1.2,2.000626075715434e-06,1.2,2.000626075715434e-06,1.2,2.000626075715434e-06,1.2,2.000626075715434e-06,1.2,2.000626075715434e-06,1.2,2.000626075715434e-06,0.7512908585207604,2.000626075715434e-06,1.190583563607332,2.000626075715434e-06,1.2,2.000626075715434e-06,1.2
2.000654686657135e-06,1.2,2.000654686657135e-06,1.2,2.000654686657135e-06,1.2,2.000654686657135e-06,1.2,2.000654686657135e-06,1.2,2.000654686657135e-06,1.2,2.000654686657135e-06,0.7856239885619248,2.000654686657135e-06,1.19058442995145,2.000654686657135e-06,1.2,2.000654686657135e-06,1.2
2.0006870461407e-06,1.2,2.0006870461407e-06,1.2,2.0006870461407e-06,1.2,2.0006870461407e-06,1.2,2.0006870461407e-06,1.2,2.0006870461407e-06,1.2,2.0006870461407e-06,0.8244553688398417,2.0006870461407e-06,1.190586863169267,2.0006870461407e-06,1.2,2.0006870461407e-06,1.2
2.000704909852341e-06,1.2,2.000704909852341e-06,1.2,2.000704909852341e-06,1.2,2.000704909852341e-06,1.2,2.000704909852341e-06,1.2,2.000704909852341e-06,1.2,2.000704909852341e-06,0.8458918228092688,2.000704909852341e-06,1.190588978899386,2.000704909852341e-06,1.2,2.000704909852341e-06,1.2
2.000729167689507e-06,1.2,2.000729167689507e-06,1.2,2.000729167689507e-06,1.2,2.000729167689507e-06,1.2,2.000729167689507e-06,1.2,2.000729167689507e-06,1.2,2.000729167689507e-06,0.8750012274085633,2.000729167689507e-06,1.190592359597735,2.000729167689507e-06,1.2,2.000729167689507e-06,1.2
