/B<7> (vref=1.2) X,/B<7> (vref=1.2) Y,/B<6> (vref=1.2) X,/B<6> (vref=1.2) Y,/B<5> (vref=1.2) X,/B<5> (vref=1.2) Y,/B<4> (vref=1.2) X,/B<4> (vref=1.2) Y,/B<3> (vref=1.2) X,/B<3> (vref=1.2) Y,/B<2> (vref=1.2) X,/B<2> (vref=1.2) Y,/VOUT (vref=1.2) X,/VOUT (vref=1.2) Y,/net10 (vref=1.2) X,/net10 (vref=1.2) Y,/B<1> (vref=1.2) X,/B<1> (vref=1.2) Y,/B<0> (vref=1.2) X,/B<0> (vref=1.2) Y
1.774242451983556e-08,1.2,1.774242451983556e-08,1.2,1.774242451983556e-08,1.2,1.774242451983556e-08,1.2,1.774242451983556e-08,1.2,1.774242451983556e-08,1.2,1.774242451983556e-08,0.7911393147313556,1.774242451983556e-08,1.2,1.774242451983556e-08,1.2,1.774242451983556e-08,1.2
2.688428698500634e-08,1.2,2.688428698500634e-08,1.2,2.688428698500634e-08,1.2,2.688428698500634e-08,1.2,2.688428698500634e-08,1.2,2.688428698500634e-08,1.2,2.688428698500634e-08,0.979233609825098,2.688428698500634e-08,1.2,2.688428698500634e-08,1.2,2.688428698500634e-08,1.2
3.784465334761447e-08,1.2,3.784465334761447e-08,1.2,3.784465334761447e-08,1.2,3.784465334761447e-08,1.2,3.784465334761447e-08,1.2,3.784465334761447e-08,1.2,3.784465334761447e-08,1.089414097652109,3.784465334761447e-08,1.2,3.784465334761447e-08,1.2,3.784465334761447e-08,1.2
4.996046273024985e-08,1.2,4.996046273024985e-08,1.2,4.996046273024985e-08,1.2,4.996046273024985e-08,1.2,4.996046273024985e-08,1.2,4.996046273024985e-08,1.2,4.996046273024985e-08,1.152551028969308,4.996046273024985e-08,1.2,4.996046273024985e-08,1.2,4.996046273024985e-08,1.2
6.432052692096045e-08,1.2,6.432052692096045e-08,1.2,6.432052692096045e-08,1.2,6.432052692096045e-08,1.2,6.432052692096045e-08,1.2,6.432052692096045e-08,1.2,6.432052692096045e-08,1.179014171880175,6.432052692096045e-08,1.2,6.432052692096045e-08,1.2,6.432052692096045e-08,1.2
8.352934760261784e-08,1.2,8.352934760261784e-08,1.2,8.352934760261784e-08,1.2,8.352934760261784e-08,1.2,8.352934760261784e-08,1.2,8.352934760261784e-08,1.2,8.352934760261784e-08,1.193366151855038,8.352934760261784e-08,1.2,8.352934760261784e-08,1.2,8.352934760261784e-08,1.2
1.01e-07,1.2,1.01e-07,1.2,1.01e-07,1.2,1.01e-07,1.2,1.01e-07,1.2,1.01e-07,1.2,1.01e-07,1.194724783382834,1.01e-07,1.2,1.01e-07,1.2,1.01e-07,1.2
1.0125e-07,1.2,1.0125e-07,1.2,1.0125e-07,1.2,1.0125e-07,1.2,1.0125e-07,1.2,1.0125e-07,1.2,1.0125e-07,1.194733482332586,1.0125e-07,1.2,1.0125e-07,1.2,1.0125e-07,0.9000000000000092
1.0134375e-07,1.2,1.0134375e-07,1.2,1.0134375e-07,1.2,1.0134375e-07,1.2,1.0134375e-07,1.2,1.0134375e-07,1.2,1.0134375e-07,1.19473673575702,1.0134375e-07,1.2,1.0134375e-07,1.2,1.0134375e-07,0.7875000000000166
1.0153125e-07,1.2,1.0153125e-07,1.2,1.0153125e-07,1.2,1.0153125e-07,1.2,1.0153125e-07,1.2,1.0153125e-07,1.2,1.0153125e-07,1.194743215424158,1.0153125e-07,1.2,1.0153125e-07,1.2,1.0153125e-07,0.5625000000000315
