/REF (v_ref=0.1) X,/REF (v_ref=0.1) Y,/REF (v_ref=0.2) X,/REF (v_ref=0.2) Y,/REF (v_ref=0.3) X,/REF (v_ref=0.3) Y,/REF (v_ref=0.4) X,/REF (v_ref=0.4) Y,/REF (v_ref=0.5) X,/REF (v_ref=0.5) Y,/REF (v_ref=0.6) X,/REF (v_ref=0.6) Y,/REF (v_ref=0.7) X,/REF (v_ref=0.7) Y,/REF (v_ref=0.8) X,/REF (v_ref=0.8) Y,/REF (v_ref=0.9) X,/REF (v_ref=0.9) Y,/REF (v_ref=1) X,/REF (v_ref=1) Y,/REF (v_ref=1.1) X,/REF (v_ref=1.1) Y,/out (v_ref=0.1) X,/out (v_ref=0.1) Y,/out (v_ref=0.2) X,/out (v_ref=0.2) Y,/out (v_ref=0.3) X,/out (v_ref=0.3) Y,/out (v_ref=0.4) X,/out (v_ref=0.4) Y,/out (v_ref=0.5) X,/out (v_ref=0.5) Y,/out (v_ref=0.6) X,/out (v_ref=0.6) Y,/out (v_ref=0.7) X,/out (v_ref=0.7) Y,/out (v_ref=0.8) X,/out (v_ref=0.8) Y,/out (v_ref=0.9) X,/out (v_ref=0.9) Y,/out (v_ref=1) X,/out (v_ref=1) Y,/out (v_ref=1.1) X,/out (v_ref=1.1) Y,/IN (v_ref=0.1) X,/IN (v_ref=0.1) Y,/IN (v_ref=0.2) X,/IN (v_ref=0.2) Y,/IN (v_ref=0.3) X,/IN (v_ref=0.3) Y,/IN (v_ref=0.4) X,/IN (v_ref=0.4) Y,/IN (v_ref=0.5) X,/IN (v_ref=0.5) Y,/IN (v_ref=0.6) X,/IN (v_ref=0.6) Y,/IN (v_ref=0.7) X,/IN (v_ref=0.7) Y,/IN (v_ref=0.8) X,/IN (v_ref=0.8) Y,/IN (v_ref=0.9) X,/IN (v_ref=0.9) Y,/IN (v_ref=1) X,/IN (v_ref=1) Y,/IN (v_ref=1.1) X,/IN (v_ref=1.1) Y
1.267300811454952e-06,0.1,8.495666052222644e-07,0.2,1.252808542189272e-06,0.3,1.880698349376856e-06,0.4,1.728229031847647e-06,0.5,3.428649957560535e-08,0.6,2.065325338458228e-06,0.7,2.506108703451621e-06,0.8,1.704107844469327e-06,0.9,1.918936171274283e-06,1,3.073114584119726e-06,1.1,1.267300811454952e-06,1.199999682122357,8.495666052222644e-07,1.199999682121499,1.252808542189272e-06,1.199999682115663,1.880698349376856e-06,1.199999682091269,1.728229031847647e-06,1.199999681944759,3.428649957560535e-08,0.05051577220901952,2.065325338458228e-06,1.931463420419128e-06,2.506108703451621e-06,1.324891829207475e-06,1.704107844469327e-06,1.09348287184152e-06,1.918936171274283e-06,1.082683983347091e-06,3.073114584119726e-06,1.140711311461805e-06,1.267300811454952e-06,0.6477256441283658,8.495666052222644e-07,0.6320126985410668,1.252808542189272e-06,0.6471810098579933,1.880698349376856e-06,0.6707357676075845,1.728229031847647e-06,0.6650247356686385,3.428649957560535e-08,0.6012925695824179,2.065325338458228e-06,0.6776425878902577,2.506108703451621e-06,0.6940881295142571,1.704107844469327e-06,0.6641206699293823,1.918936171274283e-06,0.6721670412061039,3.073114584119726e-06,0.7151351251345599
1.514660606238897e-06,0.1,1.036010504347725e-06,0.2,1.767577683144595e-06,0.3,2.462112796944084e-06,0.4,2.100375357760913e-06,0.5,3.726026148775587e-08,0.6,2.246774162824177e-06,0.7,2.979893673221307e-06,0.8,2.430933487467788e-06,0.9,2.172843461932957e-06,1,3.612731400354161e-06,1.1,1.514660606238897e-06,1.199999682122358,1.036010504347725e-06,1.199999682121632,1.767577683144595e-06,1.199999682118277,2.462112796944084e-06,1.199999682102565,2.100375357760913e-06,1.199999681983578,3.726026148775587e-08,0.05614976547611024,2.246774162824177e-06,2.108768769916406e-06,2.979893673221307e-06,1.450071393329753e-06,2.430933487467788e-06,1.148670631938418e-06,2.172843461932957e-06,1.097706693839811e-06,3.612731400354161e-06,1.181004165944695e-06,1.514660606238897e-06,0.6570152029257393,1.036010504347725e-06,0.6390290993152886,1.767577683144595e-06,0.6664992075562504,2.462112796944084e-06,0.6924496854164727,2.100375357760913e-06,0.6789526430849172,3.726026148775587e-08,0.6014046774819799,2.246774162824177e-06,0.684420339465293,2.979893673221307e-06,0.7116841346694721,2.430933487467788e-06,0.6912881135639658,2.172843461932957e-06,0.6816600425628223,3.612731400354161e-06,0.7350301498069014
1.795431557429748e-06,0.1,1.266369522566263e-06,0.2,2.36489146237923e-06,0.3,3.249833785727739e-06,0.4,2.508676704708425e-06,0.5,4.002034505454864e-08,0.6,2.346609444039458e-06,0.7,3.455365103511989e-06,0.8,3.201888567918664e-06,0.9,2.423057761016064e-06,1,4.219246386499933e-06,1.1,1.795431557429748e-06,1.199999682122359,1.266369522566263e-06,1.199999682121774,2.36489146237923e-06,1.199999682120131,3.249833785727739e-06,1.199999682112431,2.508676704708425e-06,1.199999682016332,4.002034505454864e-08,0.06245769701090307,2.346609444039458e-06,2.227757963184983e-06,3.455365103511989e-06,1.635078867459108e-06,3.201888567918664e-06,1.228784335777145e-06,2.423057761016064e-06,1.113512556107944e-06,4.219246386499933e-06,1.232359958163078e-06,1.795431557429748e-06,0.6675427022093117,1.266369522566263e-06,0.6476906465263567,2.36489146237923e-06,0.6888265946459771,3.249833785727739e-06,0.7216662412694113,2.508676704708425e-06,0.694183741927218,4.002034505454864e-08,0.6015087298742655,2.346609444039458e-06,0.688144914996395,3.455365103511989e-06,0.7292432610824662,3.201888567918664e-06,0.7198957505315037,2.423057761016064e-06,0.6909946511386083,4.219246386499933e-06,0.7572052427438243
2.121721802634435e-06,0.1,1.55404313617158e-06,0.2,2.920145878684026e-06,0.3,4.009239442497597e-06,0.4,2.964621268246826e-06,0.5,4.257344421649254e-08,0.6,2.441023237994625e-06,0.7,3.93803772722412e-06,0.8,3.929639612349397e-06,0.9,2.679977139249288e-06,1,4.980754538300139e-06,1.1,2.121721802634435e-06,1.19999968212236,1.55404313617158e-06,1.199999682121915,2.920145878684026e-06,1.199999682121075,4.009239442497597e-06,1.199999682117511,2.964621268246826e-06,1.199999682044128,4.257344421649254e-08,0.06944368686413903,2.441023237994625e-06,2.366239060634796e-06,3.93803772722412e-06,1.934894006300376e-06,3.929639612349397e-06,1.338222969894256e-06,2.679977139249288e-06,1.130860512927296e-06,4.980754538300139e-06,1.306775351301141e-06,2.121721802634435e-06,0.6797503162322071,1.55404313617158e-06,0.6584929948424058,2.920145878684026e-06,0.7094702795446541,4.009239442497597e-06,0.749551282837399,2.964621268246826e-06,0.7111183896131941,4.257344421649254e-08,0.6016049791210014,2.441023237994625e-06,0.6916640414675661,3.93803772722412e-06,0.7469502718492017,3.929639612349397e-06,0.746643292341953,2.679977139249288e-06,0.7005559788829543,4.980754538300139e-06,0.7847200347228431
2.515944030402855e-06,0.1,1.916552856348207e-06,0.2,3.439116919095072e-06,0.3,4.696199881732412e-06,0.4,3.487901272790833e-06,0.5,4.49245907745287e-08,0.6,2.544397860530924e-06,0.7,4.434599789002427e-06,0.8,4.593428211255933e-06,0.9,2.956480603988615e-06,1,5.692697576760638e-06,1.1,2.515944030402855e-06,1.199999682122362,1.916552856348207e-06,1.199999682122045,3.439116919095072e-06,1.199999682121568,4.696199881732412e-06,1.199999682119801,3.487901272790833e-06,1.199999682067786,4.49245907745287e-08,0.07710905058846207,2.544397860530924e-06,2.708012634289085e-06,4.434599789002427e-06,2.503473885717659e-06,4.593428211255933e-06,1.488366899307436e-06,2.956480603988615e-06,1.150910808986023e-06,5.692697576760638e-06,1.387099877472837e-06,2.515944030402855e-06,0.6944543073711016,1.916552856348207e-06,0.6720778438259923,3.439116919095072e-06,0.7286450313205941,4.696199881732412e-06,0.7744846355154535,3.487901272790833e-06,0.7304407804285744,4.49245907745287e-08,0.6016936149231011,2.544397860530924e-06,0.6955134648224121,4.434599789002427e-06,0.7650256242390128,4.593428211255933e-06,0.770774068562653,2.956480603988615e-06,0.7108167881598677,5.692697576760638e-06,0.8100627426057173
3.031378876111787e-06,0.1,2.382875181259135e-06,0.2,3.961393720476291e-06,0.3,5.332467068821182e-06,0.4,4.115942512632729e-06,0.5,4.70778881591698e-08,0.6,2.56574368962015e-06,0.7,4.673793079928623e-06,0.8,5.212194765371959e-06,0.9,3.27357556759465e-06,1,6.253167170500341e-06,1.1,3.031378876111787e-06,1.199999682122365,2.382875181259135e-06,1.199999682122157,3.961393720476291e-06,1.199999682121871,5.332467068821182e-06,1.199999682120923,4.115942512632729e-06,1.199999682087854,4.70778881591698e-08,0.08545044716651617,2.56574368962015e-06,2.605769819835929e-06,4.673793079928623e-06,2.979054687593719e-06,5.212194765371959e-06,1.708046486136684e-06,3.27357556759465e-06,1.175852712334631e-06,6.253167170500341e-06,1.457994243422672e-06,3.031378876111787e-06,0.7135905718445625,2.382875181259135e-06,0.6894970372871814,3.961393720476291e-06,0.7478037970141651,5.332467068821182e-06,0.7972891468714324,4.115942512632729e-06,0.7534435444701726,4.70778881591698e-08,0.6017747919828931,2.56574368962015e-06,0.6963078357903328,4.673793079928623e-06,0.7736762537035901,5.212194765371959e-06,0.793001520545573,3.27357556759465e-06,0.7225425550580128,6.253167170500341e-06,0.8297203656399936
3.965184669739034e-06,0.1,3.045285069942653e-06,0.2,4.526940310604996e-06,0.3,5.934740043035671e-06,0.4,4.873754394854534e-06,0.5,4.903731134389585e-08,0.6,2.606095175451877e-06,0.7,4.928982118874874e-06,0.8,5.807194926399519e-06,0.9,3.679460255260946e-06,1,6.738288168834492e-06,1.1,3.965184669739034e-06,1.199999682122369,3.045285069942653e-06,1.199999682122252,4.526940310604996e-06,1.199999682122071,5.934740043035671e-06,1.199999682121527,4.873754394854534e-06,1.199999682103499,4.903731134389585e-08,0.09445900480622764,2.606095175451877e-06,3.053393762279744e-06,4.928982118874874e-06,3.840375774466066e-06,5.807194926399519e-06,2.064398308496793e-06,3.679460255260946e-06,1.211238508755902e-06,6.738288168834492e-06,1.524960894689364e-06,3.965184669739034e-06,0.7479423040956212,3.045285069942653e-06,0.7141052989664525,4.526940310604996e-06,0.7683697223687612,5.934740043035671e-06,0.8185854056569699,4.873754394854534e-06,0.7808780029136009,4.903731134389585e-08,0.6018486601598813,2.606095175451877e-06,0.6978090153167021,4.928982118874874e-06,0.7828620851038277,5.807194926399519e-06,0.8141005349316319,3.679460255260946e-06,0.7374800415991347,6.738288168834492e-06,0.846506140438573
4.729303570432291e-06,0.1,3.617626403267436e-06,0.2,5.200548415996563e-06,0.3,6.535744964314441e-06,0.4,5.694701757892831e-06,0.5,5.080735053454057e-08,0.6,2.615541073249073e-06,0.7,5.033661708475006e-06,0.8,6.39504127023692e-06,0.9,4.384734968021629e-06,1,7.191408703733871e-06,1.1,4.729303570432291e-06,1.199999682122372,3.617626403267436e-06,1.199999682122294,5.200548415996563e-06,1.199999682122205,6.535744964314441e-06,1.199999682121874,5.694701757892831e-06,1.199999682113136,5.080735053454057e-08,0.1041199600683021,2.615541073249073e-06,3.012443668527744e-06,5.033661708475006e-06,4.397965872353489e-06,6.39504127023692e-06,2.745042316973363e-06,4.384734968021629e-06,1.284168811176384e-06,7.191408703733871e-06,1.59246381230527e-06,4.729303570432291e-06,0.7756783010935883,3.617626403267436e-06,0.7352099467746598,5.200548415996563e-06,0.792585746834239,6.535744964314441e-06,0.8395248557304124,5.694701757892831e-06,0.8101335149059896,5.080735053454057e-08,0.6019153887369901,2.615541073249073e-06,0.6981603366601385,5.033661708475006e-06,0.7866166874473715,6.39504127023692e-06,0.8346521608347213,4.384734968021629e-06,0.7632174601635977,7.191408703733871e-06,0.8619781186078516
5.373972568324876e-06,0.1,4.231127189315745e-06,0.2,6.105760762526794e-06,0.3,7.183268879348096e-06,0.4,6.481712430344133e-06,0.5,5.239367129521476e-08,0.6,2.633701888503495e-06,0.7,5.138381474634222e-06,0.8,6.953996587030844e-06,0.9,5.015422426320664e-06,1,7.635937862856384e-06,1.1,5.373972568324876e-06,1.199999682122372,4.231127189315745e-06,1.19999968212232,6.105760762526794e-06,1.199999682122295,7.183268879348096e-06,1.199999682122088,6.481712430344133e-06,1.199999682117841,5.239367129521476e-08,0.1144137290831644,2.633701888503495e-06,4.299567341424615e-06,5.138381474634222e-06,5.283530028326079e-06,6.953996587030844e-06,4.373940859511471e-06,5.015422426320664e-06,1.365683624118135e-06,7.635937862856384e-06,1.663904642687395e-06,5.373972568324876e-06,0.7987661873598204,4.231127189315745e-06,0.7576374476040163,6.105760762526794e-06,0.8245769272262549,7.183268879348096e-06,0.8617020167621006,6.481712430344133e-06,0.8376558541085313,5.239367129521476e-08,0.6019751913064301,2.633701888503495e-06,0.698835694739191,5.138381474634222e-06,0.7903646531998121,6.953996587030844e-06,0.8538972793974864,5.015422426320664e-06,0.785963064945471,7.635937862856384e-06,0.8769504822832883
6.029297113968038e-06,0.1,4.772237245343692e-06,0.2,7.009252636665252e-06,0.3,7.958141346404007e-06,0.4,7.22457235702893e-06,0.5,5.380375525661364e-08,0.6,2.646463623863035e-06,0.7,5.238655543202234e-06,0.8,7.08438099167171e-06,0.9,5.598840689590785e-06,1,8.094483718850899e-06,1.1,6.029297113968038e-06,1.199999682122374,4.772237245343692e-06,1.199999682122336,7.009252636665252e-06,1.199999682122332,7.958141346404007e-06,1.199999682122224,7.22457235702893e-06,1.19999968212004,5.380375525661364e-08,0.1253190977449768,2.646463623863035e-06,7.854767312581032e-06,5.238655543202234e-06,7.56383290872951e-06,7.08438099167171e-06,5.114295306326323e-06,5.598840689590785e-06,1.460777521784451e-06,8.094483718850899e-06,1.74421559532819e-06,6.029297113968038e-06,0.8219012718603258,4.772237245343692e-06,0.7772252872770598,7.009252636665252e-06,0.8557831500698867,7.958141346404007e-06,0.887668364548885,7.22457235702893e-06,0.8631023165559756,5.380375525661364e-08,0.6020283499235304,2.646463623863035e-06,0.6993101967767434,5.238655543202234e-06,0.7939457836304569,7.08438099167171e-06,0.858342305843146,5.598840689590785e-06,0.8067447260184596,8.094483718850899e-06,0.8921684551792743
